Frame_ID,Capture_ms,Encode_Send_ms,Network_ms,Decode_ms,YOLO_ms,Lane_ms,Decision_ms,Send_ms,GPIO_ms,Total_ms
515,3.607,15.151,11.531,2.703,240.459,3.255,0.019,0.166,0.017,277.015
516,2.509,5.143,10.396,1.722,231.897,3.501,0.017,0.186,0.016,255.468
517,2.561,5.133,10.127,1.221,227.634,3.151,0.031,0.188,0.017,250.146
518,2.533,5.157,8.64,1.254,239.158,2.632,0.016,0.14,0.016,259.625
519,2.524,5.146,9.55,1.375,235.855,2.839,0.017,0.139,0.017,257.54
520,2.869,5.197,8.763,1.27,229.445,2.991,0.016,0.145,0.017,250.793
521,2.526,5.115,9.621,1.295,236.08,3.704,0.02,0.206,0.017,258.662
522,2.523,5.109,9.544,1.191,238.978,3.872,0.017,0.143,0.018,261.502
523,2.485,5.127,10.026,1.262,229.693,4.141,0.02,0.134,0.016,252.983
524,3.938,5.253,10.061,1.357,234.986,3.999,0.017,0.138,0.017,259.856
525,2.493,5.009,9.231,1.177,230.402,12.414,0.028,0.166,0.017,261.02
526,2.484,4.995,10.804,1.239,232.46,14.219,0.026,0.16,0.017,266.507
527,2.495,5.068,10.072,1.177,229.912,11.757,0.025,0.16,0.016,260.776
528,2.528,5.008,8.847,1.177,231.491,9.562,0.028,0.161,0.017,258.918
529,2.541,5.05,10.17,1.224,229.108,4.918,0.016,0.15,0.016,253.294
530,2.524,4.995,10.904,1.348,228.604,4.928,0.022,0.165,0.017,253.606
531,5.294,5.268,10.264,1.416,231.123,8.307,0.016,0.245,0.016,262.035
532,2.502,5.035,14.904,1.673,267.706,9.076,0.021,0.209,0.017,301.237
533,2.495,4.907,9.572,1.938,230.616,3.608,0.015,0.184,0.035,253.507
534,3.554,14.0,10.185,2.259,238.702,8.381,0.014,0.149,0.035,277.436
535,3.565,14.191,11.24,1.5,229.965,12.304,0.021,0.149,0.035,273.133
536,3.566,14.37,10.093,1.144,234.195,4.188,0.015,0.15,0.016,267.853
537,2.512,4.965,9.397,1.496,229.012,3.206,0.014,0.139,0.016,250.856
538,2.889,5.063,10.099,1.135,239.319,3.66,0.017,0.222,0.017,262.506
539,2.517,4.889,8.905,1.291,233.55,3.126,0.015,0.158,0.016,254.549
540,2.546,4.842,8.926,1.16,229.816,3.342,0.014,0.141,0.016,250.885
541,2.489,4.914,8.645,1.137,227.755,2.977,0.014,0.14,0.016,248.171
542,4.319,5.1,9.097,1.579,235.113,4.284,0.016,0.149,0.017,259.758
543,2.505,4.939,9.122,1.151,233.074,3.061,0.015,0.139,0.017,254.104
544,4.812,5.099,9.207,1.355,229.328,2.83,0.016,0.142,0.017,252.892
545,4.715,5.131,8.851,1.192,227.63,2.72,0.016,0.142,0.016,250.495
546,2.523,5.019,8.786,1.182,231.79,2.758,0.016,0.144,0.016,252.316
547,2.537,5.046,9.545,1.234,243.399,2.895,0.016,0.112,0.017,264.883
548,2.49,5.114,9.523,1.238,229.185,2.758,0.016,0.143,0.017,250.567
549,2.484,5.065,9.419,1.181,229.488,4.343,0.024,0.138,0.017,252.238
550,2.518,5.019,9.327,1.185,230.571,7.554,0.015,0.153,0.017,256.439
551,2.507,5.133,9.252,1.212,237.262,4.155,0.025,0.148,0.017,259.796
552,2.499,5.046,9.672,1.311,234.878,10.168,0.021,0.16,0.016,263.863
553,3.837,5.312,10.286,1.297,241.827,4.421,0.016,0.15,0.017,267.262
554,2.481,5.083,9.148,1.205,228.695,8.158,0.016,0.16,0.031,255.102
555,3.265,12.559,11.859,1.74,240.203,15.868,1.662,0.236,0.207,287.706
556,2.518,5.113,9.12,1.213,228.537,8.832,0.044,0.162,0.198,255.84
557,2.535,5.152,10.908,1.408,230.466,10.825,0.031,0.163,0.131,261.717
558,2.515,5.226,9.069,1.23,228.155,3.45,0.032,0.165,0.133,250.075
559,2.533,5.096,8.792,1.351,237.262,4.092,0.019,0.147,0.018,259.416
560,2.833,5.311,9.396,1.232,230.267,8.282,0.014,0.155,0.018,257.593
